System,Complexity,NDCG@10,Recall@10,Query
vector_only,Complex,1.0,1.0,What is the primary challenge addressed by the int...
fixed_rrf,Complex,1.0,1.0,What is the primary challenge addressed by the int...
adaptive_fixed,Complex,1.0,1.0,What is the primary challenge addressed by the int...
qalf,Complex,1.0,1.0,What is the primary challenge addressed by the int...
vector_only,Simple,1.0,1.0,What is the top-1 accuracy of the Oracle KGLM on b...
fixed_rrf,Simple,1.0,1.0,What is the top-1 accuracy of the Oracle KGLM on b...
adaptive_fixed,Simple,1.0,1.0,What is the top-1 accuracy of the Oracle KGLM on b...
qalf,Simple,1.0,1.0,What is the top-1 accuracy of the Oracle KGLM on b...
vector_only,Complex,1.0,1.0,How many documents are there in the training set o...
fixed_rrf,Complex,1.0,1.0,How many documents are there in the training set o...
adaptive_fixed,Complex,1.0,1.0,How many documents are there in the training set o...
qalf,Complex,1.0,1.0,How many documents are there in the training set o...
vector_only,Complex,0.0,0.0,Which language model has the lowest Perplexity (PP...
fixed_rrf,Complex,0.6309297535714575,1.0,Which language model has the lowest Perplexity (PP...
adaptive_fixed,Complex,0.6309297535714575,1.0,Which language model has the lowest Perplexity (PP...
qalf,Complex,0.43067655807339306,1.0,Which language model has the lowest Perplexity (PP...
vector_only,Simple,0.0,0.0,Who is the last author of the paper?...
fixed_rrf,Simple,0.0,0.0,Who is the last author of the paper?...
adaptive_fixed,Simple,0.0,0.0,Who is the last author of the paper?...
qalf,Simple,0.0,0.0,Who is the last author of the paper?...
vector_only,Simple,0.0,0.0,On which page does the paper introduce the corpus ...
fixed_rrf,Simple,0.31546487678572877,1.0,On which page does the paper introduce the corpus ...
adaptive_fixed,Simple,0.31546487678572877,1.0,On which page does the paper introduce the corpus ...
qalf,Simple,0.31546487678572877,1.0,On which page does the paper introduce the corpus ...
vector_only,Simple,1.0,1.0,How many time does the paper mention WikiText-2?...
fixed_rrf,Simple,0.43067655807339306,1.0,How many time does the paper mention WikiText-2?...
adaptive_fixed,Simple,0.43067655807339306,1.0,How many time does the paper mention WikiText-2?...
qalf,Simple,0.43067655807339306,1.0,How many time does the paper mention WikiText-2?...
vector_only,Simple,0.6309297535714575,1.0,How many Facebook comments were provided in the da...
fixed_rrf,Simple,1.0,1.0,How many Facebook comments were provided in the da...
adaptive_fixed,Simple,1.0,1.0,How many Facebook comments were provided in the da...
qalf,Simple,1.0,1.0,How many Facebook comments were provided in the da...
vector_only,Simple,0.6309297535714575,1.0,How many categories of aggression were participant...
fixed_rrf,Simple,1.0,1.0,How many categories of aggression were participant...
adaptive_fixed,Simple,1.0,1.0,How many categories of aggression were participant...
qalf,Simple,1.0,1.0,How many categories of aggression were participant...
vector_only,Complex,0.43067655807339306,1.0,Did multilingual pre-training benefit all language...
fixed_rrf,Complex,1.0,1.0,Did multilingual pre-training benefit all language...
adaptive_fixed,Complex,1.0,1.0,Did multilingual pre-training benefit all language...
qalf,Complex,1.0,1.0,Did multilingual pre-training benefit all language...
vector_only,Complex,0.6309297535714575,1.0,Why was English excluded from the linguistic simil...
fixed_rrf,Complex,0.5,1.0,Why was English excluded from the linguistic simil...
adaptive_fixed,Complex,0.5,1.0,Why was English excluded from the linguistic simil...
qalf,Complex,0.0,0.0,Why was English excluded from the linguistic simil...
vector_only,Complex,0.43067655807339306,1.0,Which dataset experienced the largest decrease in ...
fixed_rrf,Complex,0.5,1.0,Which dataset experienced the largest decrease in ...
adaptive_fixed,Complex,0.5,1.0,Which dataset experienced the largest decrease in ...
qalf,Complex,0.6309297535714575,1.0,Which dataset experienced the largest decrease in ...
vector_only,Complex,0.2890648263178879,1.0,What is the total number of sentences in the train...
fixed_rrf,Complex,0.38685280723454163,1.0,What is the total number of sentences in the train...
adaptive_fixed,Complex,0.38685280723454163,1.0,What is the total number of sentences in the train...
qalf,Complex,0.5,1.0,What is the total number of sentences in the train...
vector_only,Simple,0.0,0.0,How many pages does the document have?...
fixed_rrf,Simple,0.0,0.0,How many pages does the document have?...
adaptive_fixed,Simple,0.0,0.0,How many pages does the document have?...
qalf,Simple,0.0,0.0,How many pages does the document have?...
vector_only,Simple,0.0,0.0,What is the main content of page 10?...
fixed_rrf,Simple,0.0,0.0,What is the main content of page 10?...
adaptive_fixed,Simple,0.0,0.0,What is the main content of page 10?...
qalf,Simple,0.0,0.0,What is the main content of page 10?...
vector_only,Complex,0.6309297535714575,1.0,What is the purpose of applying data and analytics...
fixed_rrf,Complex,1.0,1.0,What is the purpose of applying data and analytics...
adaptive_fixed,Complex,1.0,1.0,What is the purpose of applying data and analytics...
qalf,Complex,1.0,1.0,What is the purpose of applying data and analytics...
vector_only,Simple,0.0,0.0,On which page mentions the guiding principles?...
fixed_rrf,Simple,0.0,0.0,On which page mentions the guiding principles?...
adaptive_fixed,Simple,0.0,0.0,On which page mentions the guiding principles?...
qalf,Simple,0.0,0.0,On which page mentions the guiding principles?...
vector_only,Simple,0.0,0.0,How many pages does the report consist of?...
fixed_rrf,Simple,0.0,0.0,How many pages does the report consist of?...
adaptive_fixed,Simple,0.0,0.0,How many pages does the report consist of?...
qalf,Simple,0.0,0.0,How many pages does the report consist of?...
vector_only,Simple,0.0,0.0,Was the document approved before it was revised?...
fixed_rrf,Simple,0.0,0.0,Was the document approved before it was revised?...
adaptive_fixed,Simple,0.0,0.0,Was the document approved before it was revised?...
qalf,Simple,0.0,0.0,Was the document approved before it was revised?...
