Directory,Query_ID,System,NDCG@10,Recall@10,Accuracy@1,Complexity,Ling_Comp,Sem_Comp,Mod_Comp,Ctx_Comp
0,0_0,vector_only,0.0,0.0,0.0,Complex,Medium,Low,Low,Medium
0,0_0,fixed_rrf,0.6309297535714575,1.0,0.0,Complex,Medium,Low,Low,Medium
0,0_0,qalf,0.5,1.0,0.0,Complex,Medium,Low,Low,Medium
0,0_1,vector_only,0.0,0.0,0.0,Simple,Medium,Low,Low,Low
0,0_1,fixed_rrf,1.0,1.0,1.0,Simple,Medium,Low,Low,Low
0,0_1,qalf,0.5,1.0,0.0,Simple,Medium,Low,Low,Low
0,0_2,vector_only,0.0,0.0,0.0,Complex,Medium,Low,Low,Medium
0,0_2,fixed_rrf,0.38685280723454163,1.0,0.0,Complex,Medium,Low,Low,Medium
0,0_2,qalf,0.38685280723454163,1.0,0.0,Complex,Medium,Low,Low,Medium
0,0_3,vector_only,0.0,0.0,0.0,Complex,Medium,Low,Medium,Medium
0,0_3,fixed_rrf,0.31546487678572877,1.0,0.0,Complex,Medium,Low,Medium,Medium
0,0_3,qalf,0.38685280723454163,1.0,0.0,Complex,Medium,Low,Medium,Medium
0,0_4,vector_only,0.0,0.0,0.0,Simple,Low,Low,Low,Low
0,0_4,fixed_rrf,0.0,0.0,0.0,Simple,Low,Low,Low,Low
0,0_4,qalf,0.0,0.0,0.0,Simple,Low,Low,Low,Low
0,0_5,vector_only,0.0,0.0,0.0,Simple,Medium,Low,Low,Low
0,0_5,fixed_rrf,0.31546487678572877,1.0,0.0,Simple,Medium,Low,Low,Low
0,0_5,qalf,0.31546487678572877,1.0,0.0,Simple,Medium,Low,Low,Low
0,0_6,vector_only,0.0,0.0,0.0,Simple,Low,Low,Low,Medium
0,0_6,fixed_rrf,0.0,0.0,0.0,Simple,Low,Low,Low,Medium
0,0_6,qalf,0.0,0.0,0.0,Simple,Low,Low,Low,Medium
1,1_0,vector_only,0.0,0.0,0.0,Simple,Medium,Low,Low,Low
1,1_0,fixed_rrf,1.0,1.0,1.0,Simple,Medium,Low,Low,Low
1,1_0,qalf,0.5,1.0,0.0,Simple,Medium,Low,Low,Low
1,1_1,vector_only,0.0,0.0,0.0,Simple,Medium,Low,Low,Low
1,1_1,fixed_rrf,0.5,1.0,0.0,Simple,Medium,Low,Low,Low
1,1_1,qalf,0.5,1.0,0.0,Simple,Medium,Low,Low,Low
10,10_0,vector_only,0.0,0.0,0.0,Complex,Medium,Low,Low,Medium
10,10_0,fixed_rrf,0.3562071871080222,1.0,0.0,Complex,Medium,Low,Low,Medium
10,10_0,qalf,0.38685280723454163,1.0,0.0,Complex,Medium,Low,Low,Medium
10,10_1,vector_only,0.0,0.0,0.0,Complex,Medium,Medium,Low,Medium
10,10_1,fixed_rrf,0.31546487678572877,1.0,0.0,Complex,Medium,Medium,Low,Medium
10,10_1,qalf,0.0,0.0,0.0,Complex,Medium,Medium,Low,Medium
10,10_2,vector_only,0.0,0.0,0.0,Complex,Medium,Medium,Medium,Low
10,10_2,fixed_rrf,0.6309297535714575,1.0,0.0,Complex,Medium,Medium,Medium,Low
10,10_2,qalf,0.43067655807339306,1.0,0.0,Complex,Medium,Medium,Medium,Low
10,10_3,vector_only,0.0,0.0,0.0,Complex,Medium,Medium,Medium,Low
10,10_3,fixed_rrf,0.3010299956639812,1.0,0.0,Complex,Medium,Medium,Medium,Low
10,10_3,qalf,0.3333333333333333,1.0,0.0,Complex,Medium,Medium,Medium,Low
10,10_4,vector_only,0.0,0.0,0.0,Simple,Low,Low,Low,Low
10,10_4,fixed_rrf,0.0,0.0,0.0,Simple,Low,Low,Low,Low
10,10_4,qalf,0.0,0.0,0.0,Simple,Low,Low,Low,Low
10,10_5,vector_only,0.0,0.0,0.0,Simple,Low,Low,Low,Low
10,10_5,fixed_rrf,0.0,0.0,0.0,Simple,Low,Low,Low,Low
10,10_5,qalf,0.0,0.0,0.0,Simple,Low,Low,Low,Low
100,100_0,vector_only,0.0,0.0,0.0,Complex,Medium,Medium,Low,Low
100,100_0,fixed_rrf,0.38685280723454163,1.0,0.0,Complex,Medium,Medium,Low,Low
100,100_0,qalf,0.3562071871080222,1.0,0.0,Complex,Medium,Medium,Low,Low
100,100_1,vector_only,0.0,0.0,0.0,Simple,Low,Low,Low,Low
100,100_1,fixed_rrf,0.0,0.0,0.0,Simple,Low,Low,Low,Low
100,100_1,qalf,0.0,0.0,0.0,Simple,Low,Low,Low,Low
100,100_2,vector_only,0.0,0.0,0.0,Simple,Low,Low,Low,Low
100,100_2,fixed_rrf,0.0,0.0,0.0,Simple,Low,Low,Low,Low
100,100_2,qalf,0.0,0.0,0.0,Simple,Low,Low,Low,Low
101,101_0,vector_only,0.0,0.0,0.0,Simple,Low,Low,Low,Medium
101,101_0,fixed_rrf,0.0,0.0,0.0,Simple,Low,Low,Low,Medium
101,101_0,qalf,0.0,0.0,0.0,Simple,Low,Low,Low,Medium
101,101_1,vector_only,0.0,0.0,0.0,Complex,Medium,Medium,Low,Medium
101,101_1,fixed_rrf,1.0,1.0,1.0,Complex,Medium,Medium,Low,Medium
101,101_1,qalf,1.0,1.0,1.0,Complex,Medium,Medium,Low,Medium
101,101_2,vector_only,0.0,0.0,0.0,Complex,Medium,Low,Low,Medium
101,101_2,fixed_rrf,0.0,0.0,0.0,Complex,Medium,Low,Low,Medium
101,101_2,qalf,0.0,0.0,0.0,Complex,Medium,Low,Low,Medium
102,102_0,vector_only,0.0,0.0,0.0,Complex,Medium,Low,Low,Medium
102,102_0,fixed_rrf,0.0,0.0,0.0,Complex,Medium,Low,Low,Medium
102,102_0,qalf,0.0,0.0,0.0,Complex,Medium,Low,Low,Medium
102,102_1,vector_only,0.0,0.0,0.0,Complex,Medium,Medium,Low,Low
102,102_1,fixed_rrf,0.0,0.0,0.0,Complex,Medium,Medium,Low,Low
102,102_1,qalf,0.0,0.0,0.0,Complex,Medium,Medium,Low,Low
102,102_2,vector_only,0.0,0.0,0.0,Simple,Low,Low,Low,Low
102,102_2,fixed_rrf,0.0,0.0,0.0,Simple,Low,Low,Low,Low
102,102_2,qalf,0.0,0.0,0.0,Simple,Low,Low,Low,Low
102,102_3,vector_only,0.0,0.0,0.0,Complex,Medium,Low,Low,Medium
102,102_3,fixed_rrf,0.0,0.0,0.0,Complex,Medium,Low,Low,Medium
102,102_3,qalf,0.0,0.0,0.0,Complex,Medium,Low,Low,Medium
103,103_0,vector_only,0.0,0.0,0.0,Complex,Medium,Medium,Low,Medium
103,103_0,fixed_rrf,0.38685280723454163,1.0,0.0,Complex,Medium,Medium,Low,Medium
103,103_0,qalf,0.38685280723454163,1.0,0.0,Complex,Medium,Medium,Low,Medium
103,103_1,vector_only,0.0,0.0,0.0,Complex,Medium,Low,Low,Medium
103,103_1,fixed_rrf,1.0,1.0,1.0,Complex,Medium,Low,Low,Medium
103,103_1,qalf,1.0,1.0,1.0,Complex,Medium,Low,Low,Medium
103,103_2,vector_only,0.0,0.0,0.0,Complex,Medium,Medium,Medium,Medium
103,103_2,fixed_rrf,1.0,1.0,1.0,Complex,Medium,Medium,Medium,Medium
103,103_2,qalf,1.0,1.0,1.0,Complex,Medium,Medium,Medium,Medium
104,104_0,vector_only,0.0,0.0,0.0,Complex,Medium,Medium,Low,Low
104,104_0,fixed_rrf,0.0,0.0,0.0,Complex,Medium,Medium,Low,Low
104,104_0,qalf,0.0,0.0,0.0,Complex,Medium,Medium,Low,Low
104,104_1,vector_only,0.0,0.0,0.0,Simple,Low,Low,Low,Low
104,104_1,fixed_rrf,0.0,0.0,0.0,Simple,Low,Low,Low,Low
104,104_1,qalf,0.0,0.0,0.0,Simple,Low,Low,Low,Low
